Tensao (V),Erro instrumental (V),Corrente media (A),Desvio padrao (A),Ruido como erro (A),Corrente com ruido descontado (A),Erro propagado (media e ruido) (A)
2.75,0.025,0.15705019,0.0013860782601362095,7.032506400000002e-05,0.156979864936,0.0013860789517821975
2.8,0.025,0.15789863,0.001387775460584316,7.0842834e-05,0.15782778716600002,0.001387776102439317
2.85,0.025,0.15871885,0.0013853081913422739,7.209997800000001e-05,0.158646750022,0.001385310426675183
2.9,0.025,0.15951162999999996,0.0013893085122942718,7.2909224e-05,0.15943872077599996,0.0013893104531271594
2.95,0.025,0.16027821999999997,0.0013911558645800775,7.344392e-05,0.16020477607999997,0.0013911572984732716
3.0,0.025,0.16101536,0.0013923893701914816,7.415485e-05,0.16094120515,0.0013923909950241077
3.05,0.025,0.16171727000000002,0.0013911204421456643,7.487929200000001e-05,0.16164239070800002,0.001391122011408633
3.1,0.025,0.16238997000000002,0.0013952052274765112,7.5922922e-05,0.162314047078,0.0013952063320712346
3.15,0.025,0.16303710999999999,0.001394183110442976,7.6126142e-05,0.16296098385799998,0.0013941842399815961
3.2,0.025,0.16365772,0.0013965884781614575,7.641517e-05,0.16358130483,0.0013965901539601765
3.25,0.025,0.16424977000000002,0.0013992269516891582,7.7223422e-05,0.164172546578,0.001399228796347848
3.3,0.025,0.16482125,0.0013965454810193417,7.8308746e-05,0.164742941254,0.0013965472494420752
3.35,0.025,0.16537754999999998,0.001399401224532198,7.905500399999999e-05,0.165298494996,0.0013994030631482954
3.4,0.025,0.1659194,0.0014007805316243402,7.9742394e-05,0.165839657606,0.0014007821008174557
3.45,0.025,0.16644565,0.0013964546093987872,8.070168200000001e-05,0.166364948318,0.001396455815575521
3.5,0.025,0.16696550000000002,0.0013960874566683397,8.170755e-05,0.16688379245,0.0013960886072777736
3.55,0.025,0.16747510999999998,0.001393824400266328,8.2376588e-05,0.16739273341199998,0.001393825749810846
3.6,0.025,0.16798562,0.0013958423890651497,8.3139252e-05,0.16790248074800002,0.001395843760236704
3.65,0.025,0.16849154,0.0013914327701250219,8.365775000000001e-05,0.16840788225,0.001391434357482318
3.7,0.025,0.168998,0.001389711266574624,8.441628600000001e-05,0.168913583714,0.0013897125137557556
3.75,0.025,0.16950053,0.0013939854503066563,8.5224282e-05,0.169415305718,0.0013939868633228614
3.8,0.025,0.17000038,0.0013951546762515866,8.5745234e-05,0.169914634766,0.001395155821484743
3.85,0.025,0.17050864000000002,0.0013940449547988087,8.6568954e-05,0.17042207104600002,0.001394046030497594
3.9,0.025,0.1710185,0.001392140265921504,8.7440228e-05,0.170931059772,0.0013921416926826467
3.95,0.025,0.17152284999999998,0.0013885614508468036,8.8032046e-05,0.17143481795399998,0.0013885626363812408
4.0,0.025,0.17203137000000002,0.001395302703159584,8.879201e-05,0.17194257799,0.0013953042811913332
4.05,0.025,0.17253918,0.0013914561715459581,8.947278800000001e-05,0.17244970721199998,0.00139145751516081
4.1,0.025,0.17304530999999998,0.0013906828334391047,9.0137904e-05,0.17295517209599998,0.0013906840336816374
4.15,0.025,0.17354593000000001,0.001390957741230436,9.105989e-05,0.17345487011000002,0.001390959103876385
4.2,0.025,0.17405187,0.0013904838974256458,9.1896632e-05,0.173959973368,0.0013904855630177877
4.25,0.025,0.17455632,0.0013888390065886738,9.253649200000001e-05,0.174463783508,0.0013888412475223265
4.3,0.025,0.17505336999999999,0.001385061575887515,9.3477618e-05,0.174959892382,0.0013850643791244299
4.35,0.025,0.17554861000000002,0.0013858617819890171,9.4230252e-05,0.17545437974800002,0.0013858636098719914
4.4,0.025,0.17604669,0.001391222705592299,9.4911008e-05,0.175951778992,0.001391224122923398
4.45,0.025,0.17653412999999998,0.001392936703555157,9.543738e-05,0.17643869261999998,0.001392938308405093
4.5,0.025,0.17702753999999998,0.0013899470455140835,9.5844108e-05,0.17693169589199997,0.0013899486587540025
4.55,0.025,0.17751970999999997,0.0013877840445592929,9.681271999999999e-05,0.17742289727999996,0.0013877860305153895
4.6,0.025,0.17799740999999997,0.0013923326960735918,9.797226399999999e-05,0.17789943773599998,0.0013923356298211158
4.65,0.025,0.17847474000000002,0.001392662605866108,9.8886458e-05,0.17837585354200003,0.0013926657308128859
4.7,0.025,0.1789473,0.001392133615075157,9.917326e-05,0.17884812674,0.0013921356859022734
4.75,0.025,0.17940852000000002,0.0013913925708520284,9.9799132e-05,0.179308720868,0.001391394256022789
4.8,0.025,0.17987157,0.0013913950401984634,0.000100508612,0.179771061388,0.0013913966812818552
4.85,0.025,0.18032782999999997,0.0013919101919065535,0.000101233306,0.18022659669399996,0.0013919114501731947
4.9,0.025,0.18077758,0.0013899556298273997,0.00010186505399999999,0.180675714946,0.0013899571913629659
4.95,0.025,0.18121012,0.0013900476880708492,0.00010280986600000001,0.181107310134,0.0013900495179457884
5.0,0.025,0.18165145,0.001387720725386298,0.00010348401999999999,0.18154796598,0.0013877223449847882
